BlockID StartX[Km] EndX[Km]
@3-blockSets69@ 34.856 35.186
@0-blockSets70@ 34.549 34.564
@1-blockSets70@ 34.564 34.579
@0-blockSets71@ 34.564 34.5845
@1-blockSets71@ 34.5845 34.605
@0-blockSets72@ 36.542 36.85
@1-blockSets72@ 36.85 36.972
@2-blockSets72@ 36.972 37.402
@3-blockSets72@ 37.402 37.832
@4-blockSets72@ 37.832 38.1675
@5-blockSets72@ 38.1675 38.224
@0-blockSets73@ 36.91 37.34
@1-blockSets73@ 37.34 37.77
@2-blockSets73@ 37.77 38.121
@0-blockSets74@ 36.976 37.1905
@1-blockSets74@ 37.1905 37.406
@2-blockSets74@ 37.406 37.433
@3-blockSets74@ 37.433 37.48
@4-blockSets74@ 37.48 37.527
@0-blockSets75@ 37.132 37.287
@0-blockSets76@ 37.395 37.825
@1-blockSets76@ 37.825 38.236
@0-blockSets77@ 37.418 37.433
@1-blockSets77@ 37.433 37.448
@0-blockSets78@ 45.718 45.9
@1-blockSets78@ 45.9 46.148
@2-blockSets78@ 46.148 46.578
@3-blockSets78@ 46.578 46.764
@4-blockSets78@ 46.764 47.008
@5-blockSets78@ 47.008 47.438
@6-blockSets78@ 47.438 47.868
@7-blockSets78@ 47.868 48.298
@8-blockSets78@ 48.298 48.728
@9-blockSets78@ 48.728 49.158
@10-blockSets78@ 49.158 49.588
@11-blockSets78@ 49.588 50.018
@12-blockSets78@ 50.018 50.448
@13-blockSets78@ 50.448 51.05
@14-blockSets78@ 51.05 51.308
@15-blockSets78@ 51.308 51.738
@16-blockSets78@ 51.738 52.168
@17-blockSets78@ 52.168 52.598
@18-blockSets78@ 52.598 53.028
@19-blockSets78@ 53.028 53.458
@20-blockSets78@ 53.458 53.888
@21-blockSets78@ 53.888 54.318
@22-blockSets78@ 54.318 54.748
@23-blockSets78@ 54.748 55.082
@24-blockSets78@ 55.082 55.178
@25-blockSets78@ 55.178 55.336
@26-blockSets78@ 55.336 55.608
@27-blockSets78@ 55.608 56.038
@28-blockSets78@ 56.038 56.468
@29-blockSets78@ 56.468 56.483
@30-blockSets78@ 56.483 56.516
@31-blockSets78@ 56.516 56.898
@32-blockSets78@ 56.898 57.328
@33-blockSets78@ 57.328 57.758
@34-blockSets78@ 57.758 58.188
@35-blockSets78@ 58.188 58.302
@36-blockSets78@ 58.302 58.322
@37-blockSets78@ 58.322 58.7815
@38-blockSets78@ 58.7815 58.8205
@39-blockSets78@ 58.8205 58.843
@40-blockSets78@ 58.843 58.864
@41-blockSets78@ 58.864 58.8875
@42-blockSets78@ 58.8875 58.9135
@43-blockSets78@ 58.9135 58.9465
@44-blockSets78@ 58.9465 58.976
@45-blockSets78@ 58.976 59.002
@46-blockSets78@ 59.002 59.048
@47-blockSets78@ 59.048 59.09
@48-blockSets78@ 59.09 59.1155
@49-blockSets78@ 59.1155 59.2905
@50-blockSets78@ 59.2905 59.478
@51-blockSets78@ 59.478 59.675
